year_of_filing,state,sector,dispute_type,claim_amount_slab,claim_amount_numeric,respondent_type,delay_days,has_written_contract,has_purchase_order,has_delivery_challan,num_invoices_submitted,doc_completeness_score,claimant_udyam_age_months,prior_cases_filed,case_status,resolution_days
2017,Uttar Pradesh,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,PSU,281,1,1,1,4,0.63,10,0,Mutually Settled,164.0
2022,Jharkhand,Construction,Non-Payment,10-50 Lakh,3000000,Private Large Corp,859,1,0,1,2,0.7,1,0,Converted to Case - Pending,
2024,West Bengal,Textile & Apparel,Partial Payment,10-50 Lakh,3000000,Govt Department,578,1,1,1,8,0.57,4,2,Disposed - In Favour of Claimant,96.0
2020,Delhi,Food Processing,Partial Payment,1-10 Lakh,500000,Private Large Corp,538,1,0,1,4,0.58,26,0,Mutually Settled,111.0
2021,Gujarat,Auto Components,Non-Payment,Below 1 Lakh,50000,PSU,694,1,1,1,13,0.47,75,0,Mutually Settled,126.0
2022,Gujarat,Printing & Packaging,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,372,1,1,1,2,0.64,53,0,Mutually Settled,21.0
2020,Maharashtra,Engineering & Fabrication,Non-Payment,10-50 Lakh,3000000,Private SME,200,0,1,1,14,0.74,117,0,Mutually Settled,93.0
2024,Kerala,Manufacturing,Partial Payment,1-10 Lakh,500000,Private Large Corp,830,1,1,0,3,0.6,23,2,Mutually Settled,146.0
2021,Delhi,Auto Components,Non-Payment,1-10 Lakh,500000,PSU,111,1,1,0,9,0.5,68,2,Converted to Case - Pending,
2022,Haryana,Construction,Non-Payment,Below 1 Lakh,50000,CPSE,789,0,1,1,11,0.63,2,0,Mutually Settled,130.0
2020,Maharashtra,Printing & Packaging,Payment After Due Date,1-10 Lakh,500000,Govt Department,583,1,0,1,6,0.73,116,1,Mutually Settled,89.0
2018,Uttarakhand,Engineering & Fabrication,Partial Payment,1-10 Lakh,500000,CPSE,410,1,1,1,10,0.68,1,2,Mutually Settled,37.0
2019,Telangana,Construction,Non-Payment,1-10 Lakh,500000,CPSE,245,1,1,1,13,1.0,9,1,Mutually Settled,85.0
2018,Gujarat,Manufacturing,Non-Payment,1-10 Lakh,500000,Govt Department,557,1,1,0,10,0.52,59,0,Mutually Settled,61.0
2022,Gujarat,IT & Software Services,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,557,0,1,1,5,0.62,73,0,Converted to Case - Pending,
2022,Gujarat,Textile & Apparel,Payment After Due Date,1-10 Lakh,500000,Private SME,543,1,0,1,12,0.81,84,2,Mutually Settled,71.0
2018,Tamil Nadu,IT & Software Services,Non-Payment,10-50 Lakh,3000000,Govt Department,730,1,0,0,7,0.51,53,0,Mutually Settled,59.0
2018,Karnataka,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,PSU,740,1,1,0,2,1.0,77,0,Mutually Settled,31.0
2022,Uttar Pradesh,IT & Software Services,Non-Payment,1-10 Lakh,500000,Govt Department,85,0,1,1,11,0.65,42,0,Mutually Settled,166.0
2024,Tamil Nadu,Engineering & Fabrication,Contract Breach,1-10 Lakh,500000,Govt Department,317,0,0,1,9,0.76,25,0,Mutually Settled,61.0
2023,Delhi,Food Processing,Non-Payment,10-50 Lakh,3000000,PSU,769,1,1,1,10,0.65,10,0,Mutually Settled,110.0
2019,Gujarat,Food Processing,Non-Payment,1-10 Lakh,500000,PSU,269,1,1,0,9,0.85,17,0,Mutually Settled,49.0
2024,Tamil Nadu,Electrical & Electronics,Non-Payment,Below 1 Lakh,50000,Private Large Corp,205,1,1,1,10,0.44,5,0,Converted to Case - Pending,
2024,Uttar Pradesh,Electrical & Electronics,Non-Payment,Below 1 Lakh,50000,Private SME,80,1,1,1,10,0.96,77,0,Mutually Settled,138.0
2021,Rajasthan,IT & Software Services,Partial Payment,1-10 Lakh,500000,Private SME,877,1,1,1,8,0.7,118,0,Mutually Settled,140.0
2022,Madhya Pradesh,Pharma & Chemicals,Payment After Due Date,1-10 Lakh,500000,PSU,444,1,1,0,2,0.78,91,1,Mutually Settled,79.0
2022,Gujarat,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,471,1,0,1,6,0.5,13,0,Converted to Case - Pending,
2025,Karnataka,IT & Software Services,Non-Payment,1-10 Lakh,500000,Private Large Corp,166,0,1,1,4,0.72,33,0,Disposed - In Favour of Claimant,240.0
2022,Delhi,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Private Large Corp,479,1,0,1,3,0.46,109,0,Mutually Settled,94.0
2025,Maharashtra,Textile & Apparel,Non-Payment,Above 1 Crore,15000000,Private Large Corp,461,1,1,1,12,0.89,63,0,Mutually Settled,174.0
